# Walera v2.4 baseline — captured BEFORE first DECOMP-XX PR (BENCH-01).
# Provenance:
#   git-sha:    f1638da8c55c413cdbb7ec684ab9bd0a2c6c4185
#   captured:   2026-05-24
#   runner:     local-capture (intended target: ubuntu-latest)
#   kernel:     6.8.0-111-generic
#   host-cpu:   Intel(R) Core(TM) i5-6600T CPU @ 2.70GHz (GOMAXPROCS=4)
#   go-version: go1.25.0
#   benchstat:  v0.0.0-20260512194132-3cf34090a3db
#   command:    go test -bench=. -benchmem -count=10 -run='^$' -timeout=15m ./internal/sse/... ./internal/router/... ./internal/metrics/... ./internal/app/...
# Notes:
#   - fakeMetrics mutex floor: ~20ns/op uncontested.
#   - HeartbeatInterval set to 1 hour in BenchmarkPoolWorkerRun fixture to suppress sweep noise.
#   - -race deliberately omitted; race instrumentation invalidates allocation measurement.
goos: linux
goarch: amd64
pkg: github.com/walera/walera/internal/sse
cpu: Intel(R) Core(TM) i5-6600T CPU @ 2.70GHz
BenchmarkPoolWorkerDrainShutdown/subs_8-4         	  103942	     11717 ns/op	   22629 B/op	     111 allocs/op
BenchmarkPoolWorkerDrainShutdown/subs_8-4         	  100436	     11578 ns/op	   22629 B/op	     111 allocs/op
BenchmarkPoolWorkerDrainShutdown/subs_64-4        	   14690	     82461 ns/op	  161528 B/op	     730 allocs/op
BenchmarkPoolWorkerDrainShutdown/subs_64-4        	   14530	     82284 ns/op	  161527 B/op	     730 allocs/op
BenchmarkPoolWorkerDrainShutdown/subs_64-4        	   14409	     83505 ns/op	  161528 B/op	     730 allocs/op
BenchmarkPoolWorkerDrainShutdown/subs_64-4        	   14643	     81742 ns/op	  161527 B/op	     730 allocs/op
BenchmarkPoolWorkerDrainShutdown/subs_64-4        	   14581	     82355 ns/op	  161528 B/op	     730 allocs/op
BenchmarkPoolWorkerDrainShutdown/subs_64-4        	   15068	     79769 ns/op	  161526 B/op	     730 allocs/op
BenchmarkPoolWorkerDrainShutdown/subs_64-4        	   15236	    101331 ns/op	  161525 B/op	     730 allocs/op
BenchmarkPoolWorkerDrainShutdown/subs_64-4        	    8982	    130072 ns/op	  161526 B/op	     730 allocs/op
BenchmarkPoolWorkerDrainShutdown/subs_64-4        	   10000	    110521 ns/op	  161527 B/op	     730 allocs/op
BenchmarkPoolWorkerDrainShutdown/subs_64-4        	   12361	     96741 ns/op	  161528 B/op	     730 allocs/op
BenchmarkRunWriter/exact-4                        	   74598	     14164 ns/op	    9359 B/op	      60 allocs/op
BenchmarkRunWriter/exact-4                        	   91023	     13434 ns/op	    9359 B/op	      59 allocs/op
BenchmarkRunWriter/exact-4                        	   93742	     13366 ns/op	    9357 B/op	      60 allocs/op
BenchmarkRunWriter/exact-4                        	   93772	     13421 ns/op	    9357 B/op	      60 allocs/op
BenchmarkRunWriter/exact-4                        	   92553	     13536 ns/op	    9358 B/op	      60 allocs/op
BenchmarkRunWriter/exact-4                        	   91806	     13467 ns/op	    9358 B/op	      60 allocs/op
BenchmarkRunWriter/exact-4                        	   92556	     13555 ns/op	    9358 B/op	      60 allocs/op
BenchmarkRunWriter/exact-4                        	   91354	     13404 ns/op	    9359 B/op	      60 allocs/op
BenchmarkRunWriter/exact-4                        	   93058	     13541 ns/op	    9357 B/op	      60 allocs/op
BenchmarkRunWriter/exact-4                        	   92925	     13605 ns/op	    9357 B/op	      60 allocs/op
BenchmarkRunWriter/wildcard-4                     	   93522	     13455 ns/op	    9341 B/op	      60 allocs/op
BenchmarkRunWriter/wildcard-4                     	   93050	     13425 ns/op	    9341 B/op	      60 allocs/op
BenchmarkRunWriter/wildcard-4                     	   91142	     13464 ns/op	    9343 B/op	      60 allocs/op
BenchmarkRunWriter/wildcard-4                     	   92931	     13167 ns/op	    9341 B/op	      60 allocs/op
BenchmarkRunWriter/wildcard-4                     	   93511	     13302 ns/op	    9341 B/op	      60 allocs/op
BenchmarkRunWriter/wildcard-4                     	   91802	     13715 ns/op	    9342 B/op	      60 allocs/op
BenchmarkRunWriter/wildcard-4                     	   90906	     13547 ns/op	    9343 B/op	      60 allocs/op
BenchmarkRunWriter/wildcard-4                     	   88347	     13255 ns/op	    9346 B/op	      60 allocs/op
BenchmarkRunWriter/wildcard-4                     	   91951	     13694 ns/op	    9342 B/op	      60 allocs/op
BenchmarkRunWriter/wildcard-4                     	   94053	     13703 ns/op	    9340 B/op	      60 allocs/op
PASS
ok  	github.com/walera/walera/internal/sse	97.746s
goos: linux
goarch: amd64
pkg: github.com/walera/walera/internal/router
cpu: Intel(R) Core(TM) i5-6600T CPU @ 2.70GHz
BenchmarkRouteTx/exact_1-4         	  552796	      2093 ns/op	     688 B/op	      16 allocs/op
BenchmarkRouteTx/exact_1-4         	  591706	      1987 ns/op	     688 B/op	      16 allocs/op
BenchmarkRouteTx/exact_1-4         	  570986	      2098 ns/op	     688 B/op	      16 allocs/op
BenchmarkRouteTx/exact_1-4         	  594693	      2091 ns/op	     688 B/op	      16 allocs/op
BenchmarkRouteTx/exact_1-4         	  500475	      2184 ns/op	     688 B/op	      16 allocs/op
